                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     88,                0.95935,                  3.475,                  2.272,                 0.2906,                0.35509,                0.30071,                0.22808,                 0.8413,                 2.4691,                 2.0329,               0.004716,               0.004716,               0.004716
                     89,                0.96352,                 3.4863,                  2.274,                0.28995,                0.35783,                0.30479,                0.23172,                0.84106,                 2.4634,                 2.0317,              0.0046552,              0.0046552,              0.0046552
                     90,                0.95721,                 3.4862,                 2.2786,                0.29265,                0.36539,                0.30636,                0.23427,                0.84093,                  2.459,                 2.0308,              0.0045945,              0.0045945,              0.0045945
                     91,                0.95086,                  3.461,                 2.2682,                 0.2977,                0.36938,                0.30843,                0.23638,                0.84063,                 2.4546,                 2.0297,              0.0045337,              0.0045337,              0.0045337
                     92,                0.95125,                 3.4498,                  2.256,                0.29838,                0.37101,                 0.3113,                0.23857,                0.84025,                 2.4512,                 2.0293,               0.004473,               0.004473,               0.004473
                     93,                0.94969,                 3.4714,                 2.2638,                 0.3052,                0.37822,                0.31373,                0.23984,                0.83963,                 2.4489,                 2.0283,              0.0044123,              0.0044123,              0.0044123
                     94,                0.94266,                 3.3977,                 2.2583,                 0.3056,                0.37515,                0.31488,                0.24132,                0.83887,                 2.4449,                 2.0272,              0.0043515,              0.0043515,              0.0043515
                     95,                 0.9437,                  3.365,                 2.2606,                0.30422,                0.37745,                0.31713,                0.24323,                0.83882,                  2.441,                 2.0271,              0.0042908,              0.0042908,              0.0042908
                     96,                0.93905,                 3.4231,                 2.2448,                0.30678,                0.38087,                  0.319,                0.24409,                0.83817,                 2.4384,                 2.0253,              0.0042301,              0.0042301,              0.0042301
                     97,                0.93657,                 3.3905,                 2.2502,                0.31228,                0.38068,                0.32123,                 0.2467,                0.83826,                 2.4346,                 2.0248,              0.0041693,              0.0041693,              0.0041693
                     98,                0.93508,                 3.3774,                 2.2247,                 0.3125,                0.38363,                0.32282,                0.24786,                0.83786,                 2.4312,                 2.0244,              0.0041086,              0.0041086,              0.0041086
                     99,                0.93642,                 3.3428,                 2.2329,                0.31233,                0.38272,                 0.3237,                0.24857,                0.83792,                 2.4273,                 2.0237,              0.0040479,              0.0040479,              0.0040479
                    100,                0.92873,                 3.3492,                 2.2365,                0.30924,                 0.3837,                 0.3245,                0.24947,                0.83733,                 2.4244,                 2.0232,              0.0039871,              0.0039871,              0.0039871
                    101,                0.93745,                 3.3001,                 2.2311,                0.31299,                0.37945,                0.32646,                0.25017,                0.83692,                 2.4212,                 2.0225,              0.0039264,              0.0039264,              0.0039264
                    102,                0.92504,                 3.3334,                 2.2378,                0.31462,                0.38106,                0.32841,                0.25195,                0.83624,                  2.419,                 2.0219,              0.0038656,              0.0038656,              0.0038656
