                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     86,                0.78553,                0.47605,                 1.1655,                0.95688,                0.96815,                0.96398,                  0.633,                  1.246,                0.45569,                 1.6554,               0.001585,               0.001585,               0.001585
                     87,                0.78234,                0.46578,                 1.1641,                0.96171,                0.95993,                0.96576,                0.64122,                  1.237,                0.45507,                 1.6302,               0.001486,               0.001486,               0.001486
                     88,                0.77926,                0.46371,                 1.1623,                0.96191,                0.96502,                0.96886,                0.64114,                  1.248,                0.45239,                 1.6337,               0.001387,               0.001387,               0.001387
                     89,                0.76851,                0.45928,                 1.1579,                0.95765,                0.96023,                0.96503,                0.63402,                 1.2662,                0.45487,                 1.6672,               0.001288,               0.001288,               0.001288
                     90,                0.75185,                0.44678,                 1.1422,                0.96463,                0.95754,                 0.9633,                 0.6438,                 1.2392,                0.45244,                 1.6607,               0.001189,               0.001189,               0.001189
                     91,                 0.6398,                0.30844,                 1.0833,                0.95539,                0.96391,                0.95961,                0.62235,                 1.2689,                0.46516,                    1.7,                0.00109,                0.00109,                0.00109
                     92,                 0.6384,                0.29991,                 1.0916,                 0.9674,                0.95966,                0.96272,                 0.6348,                 1.2516,                0.45865,                 1.6627,               0.000991,               0.000991,               0.000991
                     93,                0.60386,                0.28737,                 1.0595,                0.96874,                0.95754,                0.96441,                0.63419,                 1.2504,                0.46491,                 1.6703,               0.000892,               0.000892,               0.000892
                     94,                0.60107,                0.29336,                 1.0615,                0.95749,                0.96391,                0.96223,                0.63488,                 1.2459,                0.44938,                 1.6732,               0.000793,               0.000793,               0.000793
                     95,                0.59227,                0.28114,                 1.0522,                0.96899,                0.96178,                0.96427,                0.63644,                 1.2467,                0.45044,                 1.6867,               0.000694,               0.000694,               0.000694
                     96,                0.58767,                0.27712,                 1.0589,                0.96427,                0.95117,                0.95846,                0.63723,                 1.2533,                0.45208,                  1.697,               0.000595,               0.000595,               0.000595
                     97,                0.57543,                0.27533,                 1.0455,                0.94939,                0.96815,                0.95886,                0.63483,                 1.2632,                0.44945,                 1.7106,               0.000496,               0.000496,               0.000496
                     98,                0.58091,                0.27238,                 1.0476,                0.96402,                  0.967,                0.96218,                0.63721,                 1.2508,                0.44711,                 1.7128,               0.000397,               0.000397,               0.000397
                     99,                0.55864,                0.26786,                 1.0381,                0.95489,                 0.9724,                0.96379,                0.63904,                 1.2519,                0.45253,                 1.7029,               0.000298,               0.000298,               0.000298
                    100,                0.56277,                0.26998,                 1.0328,                 0.9656,                0.96603,                0.96199,                0.63927,                 1.2506,                0.44783,                 1.7096,               0.000199,               0.000199,               0.000199
